"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"021309","KANAKANAK HOSPITAL","P O BOX 130","","","DILLINGHAM","AK","99576","DILLINGHAM","9078425201","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"021311"," KETCHIKAN MEDICAL CENTER","3100 TONGASS AVENUE","","","KETCHIKAN","AK","99901","KETCHIKAN GATEWAY","9072255171","93","14","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","77","13","The number of cases/patients is too few to report"
"021313","SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST","","","HOMER","AK","99603","KENAI PENINSULA","9072358101","82","17","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","94","17","The number of cases/patients is too few to report"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","","","PHOENIX","AZ","85031","MARICOPA","6238485000","100","136","","98","54","","100","128",""
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","","","PHOENIX","AZ","85006","MARICOPA","6022392000","100","276","Data submitted were based on a sample of cases/patients","99","103","Data submitted were based on a sample of cases/patients","98","244","Data submitted were based on a sample of cases/patients"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","","","TUCSON","AZ","85712","PIMA","5203275461","100","285","Data submitted were based on a sample of cases/patients","100","86","Data submitted were based on a sample of cases/patients","100","235","Data submitted were based on a sample of cases/patients"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","","","COTTONWOOD","AZ","86326","YAVAPAI","9286396000","98","96","","97","39","","96","80",""
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","","","TUCSON","AZ","85745","PIMA","5208723000","100","200","","98","63","","98","181",""
"030011","CARONDELET ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","","","TUCSON","AZ","85711","PIMA","5208733000","100","247","Data submitted were based on a sample of cases/patients","97","58","Data submitted were based on a sample of cases/patients","96","193","Data submitted were based on a sample of cases/patients"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","","","PRESCOTT","AZ","86301","YAVAPAI","9284452700","95","147","","90","50","","80","124",""
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","","","YUMA","AZ","85364","YUMA","9283367275","97","408","","96","195","","100","355",""
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","","","PHOENIX","AZ","85020","MARICOPA","6028706060","100","257","Data submitted were based on a sample of cases/patients","99","75","Data submitted were based on a sample of cases/patients","94","219","Data submitted were based on a sample of cases/patients"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","","","CASA GRANDE","AZ","85222","PINAL","5203816453","99","118","","100","43","","95","100",""
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","","","PHOENIX","AZ","85008","MARICOPA","6023445011","96","155","","97","59","","94","140",""
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","","","FLAGSTAFF","AZ","86001","COCONINO","9287732009","99","140","","92","52","","96","128",""
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","","","PHOENIX","AZ","85013","MARICOPA","6024063000","100","264","Data submitted were based on a sample of cases/patients","98","121","Data submitted were based on a sample of cases/patients","97","236","Data submitted were based on a sample of cases/patients"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","","","PHOENIX","AZ","85015","MARICOPA","6022490212","100","262","","92","104","","98","230",""
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","","","PAYSON","AZ","85541","GILA","9284743222","100","50","Data submitted were based on a sample of cases/patients","100","14","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","98","43","Data submitted were based on a sample of cases/patients"
"030036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","","","CHANDLER","AZ","85224","MARICOPA","4809634561","100","276","Data submitted were based on a sample of cases/patients","95","82","Data submitted were based on a sample of cases/patients","97","242","Data submitted were based on a sample of cases/patients"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","","","PHOENIX","AZ","85006","MARICOPA","6022518156","99","154","","94","83","","89","133",""
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","","","SCOTTSDALE","AZ","85251","MARICOPA","4808824000","100","278","Data submitted were based on a sample of cases/patients","100","73","Data submitted were based on a sample of cases/patients","80","227","Data submitted were based on a sample of cases/patients"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","","","SIERRA VISTA","AZ","85635","COCHISE","5204173001","98","133","","90","41","","90","103",""
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","","","KINGMAN","AZ","86409","MOHAVE","9287572101","99","268","Data submitted were based on a sample of cases/patients","94","115","Data submitted were based on a sample of cases/patients","81","241","Data submitted were based on a sample of cases/patients"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","","","SUN CITY","AZ","85351","MARICOPA","6239777211","100","266","Data submitted were based on a sample of cases/patients","100","63","Data submitted were based on a sample of cases/patients","98","219","Data submitted were based on a sample of cases/patients"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","","","SHOW LOW","AZ","85901","NAVAJO","9285374375","88","78","","95","20","The number of cases/patients is too few to report","83","66",""
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","99","268","Data submitted were based on a sample of cases/patients","100","129","Data submitted were based on a sample of cases/patients","96","243","Data submitted were based on a sample of cases/patients"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","100","273","Data submitted were based on a sample of cases/patients","100","121","Data submitted were based on a sample of cases/patients","98","232","Data submitted were based on a sample of cases/patients"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","","","PARKER","AZ","85344","LA PAZ","9286697300","97","33","Data submitted were based on a sample of cases/patients","100","21","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","91","32","Data submitted were based on a sample of cases/patients"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","","","SAFFORD","AZ","85546","GRAHAM","9283484000","100","26","","Not Available","Not Available","The number of cases/patients is too few to report","100","23","The number of cases/patients is too few to report"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","","","LAKE HAVASU CITY","AZ","86403","MOHAVE","9288558185","100","200","","98","55","","85","185",""
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","","","FORT DEFIANCE","AZ","86504","APACHE","9287298000","64","33","","100","15","The number of cases/patients is too few to report","3","31",""
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","","","TUBA CITY","AZ","86045","COCONINO","9282832501","88","24","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","95","19","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","9","22","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"030074","SELLS INDIAN HEALTH SERVICE HOSPITAL","PO BOX 548","","","SELLS","AZ","85634","PIMA","5203837200","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"030077","SAN CARLOS INDIAN HOSPITAL","223 CIBECUE CIRCLE ROAD","","","SAN CARLOS","AZ","85550","GILA","9284757347","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","","","PHOENIX","AZ","85016","MARICOPA","6022631200","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","","","PHOENIX","AZ","85032","MARICOPA","6029235000","100","105","","100","41","","93","89",""
"030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","","","CHINLE","AZ","86503","APACHE","9286747001","89","38","Data submitted were based on a sample of cases/patients","100","15","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","11","36","Data submitted were based on a sample of cases/patients"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","","","TUCSON","AZ","85741","PIMA","5207429000","100","292","Data submitted were based on a sample of cases/patients","95","95","Data submitted were based on a sample of cases/patients","90","250","Data submitted were based on a sample of cases/patients"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","","","SCOTTSDALE","AZ","85260","MARICOPA","4803233000","100","277","Data submitted were based on a sample of cases/patients","95","59","Data submitted were based on a sample of cases/patients","69","229","Data submitted were based on a sample of cases/patients"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","","","MESA","AZ","85206","MARICOPA","4803212000","100","223","Data submitted were based on a sample of cases/patients","96","51","Data submitted were based on a sample of cases/patients","93","165","Data submitted were based on a sample of cases/patients"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","","","GLENDALE","AZ","85306","MARICOPA","6025885555","100","279","Data submitted were based on a sample of cases/patients","100","93","Data submitted were based on a sample of cases/patients","96","241","Data submitted were based on a sample of cases/patients"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","","","PHOENIX","AZ","85027","MARICOPA","6238795574","100","232","Data submitted were based on a sample of cases/patients","98","88","Data submitted were based on a sample of cases/patients","94","213","Data submitted were based on a sample of cases/patients"
