"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","35","105.27","57.73","152.81","4502","0.28","0.00","0.62","1056","2.28","0.00","5.59","88","0.66","0.00","2.62","4416","1.45","0.00","3.00","Not Available","0.44","0.14","0.75"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","128","122.75","85.31","160.20","8977","0.44","0.17","0.71","3374","4.87","3.01","6.73","287","0.42","0.00","1.97","9394","1.29","0.32","2.26","Not Available","0.54","0.35","0.74"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","919","0.30","0.00","0.73","19","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","938","1.66","0.00","3.94","Not Available","0.57","0.10","1.04"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","324","125.07","96.38","153.75","22218","0.30","0.08","0.53","6126","8.66","7.05","10.26","656","0.63","0.00","1.87","23437","1.47","0.79","2.16","Not Available","0.75","0.60","0.90"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","374","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","386","1.78","0.00","4.15","Not Available","0.60","0.11","1.08"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1197","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1222","1.70","0.00","4.01","Not Available","0.58","0.11","1.05"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","5","Not Available","Not Available","Not Available","2052","0.28","0.00","0.69","145","3.37","0.00","8.05","72","1.83","0.00","3.94","2087","2.30","0.49","4.12","Not Available","0.64","0.25","1.03"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","69","134.47","91.59","177.35","5578","0.44","0.14","0.74","2498","5.89","3.75","8.03","182","0.56","0.00","2.36","6180","3.09","2.02","4.16","Not Available","0.87","0.65","1.09"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","2167","0.26","0.00","0.66","176","2.93","0.00","7.29","48","0.75","0.00","2.82","2205","1.83","0.00","3.73","Not Available","0.53","0.14","0.92"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","211","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","220","1.80","0.00","4.18","Not Available","0.60","0.11","1.09"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","182","123.09","90.88","155.29","8809","0.24","0.00","0.51","3321","3.29","1.42","5.15","432","0.35","0.00","1.77","9558","2.05","1.20","2.89","Not Available","0.57","0.39","0.74"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","173","117.05","83.30","150.80","8703","0.41","0.13","0.68","3523","3.85","1.95","5.76","348","0.97","0.00","2.50","9069","4.17","3.28","5.07","Not Available","0.95","0.76","1.13"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","5","Not Available","Not Available","Not Available","1744","0.27","0.00","0.68","74","3.68","0.00","8.57","23","Not Available","Not Available","Not Available","1789","1.72","0.00","3.77","Not Available","0.55","0.13","0.97"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","6","Not Available","Not Available","Not Available","1129","0.29","0.00","0.70","75","3.62","0.00","8.47","33","0.82","0.00","2.99","1167","1.41","0.00","3.51","Not Available","0.51","0.08","0.94"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","952","0.30","0.00","0.72","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","958","1.74","0.00","4.08","Not Available","0.59","0.11","1.06"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","2775","0.27","0.00","0.67","137","3.53","0.00","8.31","19","Not Available","Not Available","Not Available","2811","1.72","0.00","3.76","Not Available","0.55","0.13","0.97"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","233","150.11","121.16","179.06","18639","0.38","0.15","0.61","6327","7.99","6.44","9.54","692","0.25","0.00","1.46","19333","1.26","0.60","1.92","Not Available","0.67","0.53","0.81"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","55","143.23","99.08","187.38","4212","0.74","0.39","1.09","916","4.70","1.38","8.02","163","0.58","0.00","2.42","4452","5.35","3.99","6.71","Not Available","1.22","0.94","1.50"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","56","114.00","70.70","157.29","5419","0.49","0.17","0.81","829","6.82","3.29","10.36","101","0.68","0.00","2.66","5593","1.76","0.35","3.16","Not Available","0.73","0.44","1.02"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","","","MONROEVILLE","AL","36460","MONROE","2515753111","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","1377","0.29","0.00","0.71","55","3.79","0.00","8.75","22","Not Available","Not Available","Not Available","1410","1.89","0.00","4.03","Not Available","0.59","0.15","1.03"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","7","Not Available","Not Available","Not Available","1919","0.39","0.00","0.81","50","3.91","0.00","8.96","22","Not Available","Not Available","Not Available","1994","1.85","0.00","3.96","Not Available","0.60","0.17","1.04"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","8","Not Available","Not Available","Not Available","1550","0.27","0.00","0.68","185","3.26","0.00","7.85","29","0.83","0.00","3.04","1611","1.26","0.00","3.25","Not Available","0.46","0.06","0.87"
