"State","Diagnosis Related Group","Number Of Cases","Footnote"
"VT","Chronic obstructive pulmonary disease w CC","231",""
"WA","Chronic obstructive pulmonary disease w CC","1375",""
"WI","Chronic obstructive pulmonary disease w CC","1655",""
"WV","Chronic obstructive pulmonary disease w CC","2220",""
"WY","Chronic obstructive pulmonary disease w CC","160",""
"AK","Simple pneumonia and pleurisy w MCC","91",""
"AL","Simple pneumonia and pleurisy w MCC","2967",""
"AR","Simple pneumonia and pleurisy w MCC","1725",""
"AS","Simple pneumonia and pleurisy w MCC","*","The number of cases/patients is too few to report"
"AZ","Simple pneumonia and pleurisy w MCC","2052",""
"CA","Simple pneumonia and pleurisy w MCC","9333",""
"CO","Simple pneumonia and pleurisy w MCC","1201",""
"CT","Simple pneumonia and pleurisy w MCC","1948",""
"DC","Simple pneumonia and pleurisy w MCC","254",""
"DE","Simple pneumonia and pleurisy w MCC","738",""
"FL","Simple pneumonia and pleurisy w MCC","8116",""
"GA","Simple pneumonia and pleurisy w MCC","3973",""
"GU","Simple pneumonia and pleurisy w MCC","24",""
"HI","Simple pneumonia and pleurisy w MCC","280",""
"IA","Simple pneumonia and pleurisy w MCC","1711",""
"ID","Simple pneumonia and pleurisy w MCC","387",""
"IL","Simple pneumonia and pleurisy w MCC","5960",""
"IN","Simple pneumonia and pleurisy w MCC","3878",""
"KS","Simple pneumonia and pleurisy w MCC","1336",""
"KY","Simple pneumonia and pleurisy w MCC","3831",""
"LA","Simple pneumonia and pleurisy w MCC","2120",""
"MA","Simple pneumonia and pleurisy w MCC","3258",""
"MD","Simple pneumonia and pleurisy w MCC","1801",""
"ME","Simple pneumonia and pleurisy w MCC","711",""
"MI","Simple pneumonia and pleurisy w MCC","4691",""
"MN","Simple pneumonia and pleurisy w MCC","1479",""
"MO","Simple pneumonia and pleurisy w MCC","3957",""
"MP","Simple pneumonia and pleurisy w MCC","*","The number of cases/patients is too few to report"
"MS","Simple pneumonia and pleurisy w MCC","1687",""
"MT","Simple pneumonia and pleurisy w MCC","392",""
"NC","Simple pneumonia and pleurisy w MCC","5426",""
"ND","Simple pneumonia and pleurisy w MCC","411",""
"NE","Simple pneumonia and pleurisy w MCC","742",""
"NH","Simple pneumonia and pleurisy w MCC","627",""
"NJ","Simple pneumonia and pleurisy w MCC","3563",""
"NM","Simple pneumonia and pleurisy w MCC","682",""
"NV","Simple pneumonia and pleurisy w MCC","890",""
"NY","Simple pneumonia and pleurisy w MCC","6388",""
"OH","Simple pneumonia and pleurisy w MCC","6386",""
"OK","Simple pneumonia and pleurisy w MCC","1859",""
"OR","Simple pneumonia and pleurisy w MCC","895",""
"PA","Simple pneumonia and pleurisy w MCC","5642",""
"PR","Simple pneumonia and pleurisy w MCC","349",""
"RI","Simple pneumonia and pleurisy w MCC","358",""
"SC","Simple pneumonia and pleurisy w MCC","2310",""
"SD","Simple pneumonia and pleurisy w MCC","366",""
"TN","Simple pneumonia and pleurisy w MCC","4350",""
"TX","Simple pneumonia and pleurisy w MCC","9914",""
"UT","Simple pneumonia and pleurisy w MCC","572",""
"VA","Simple pneumonia and pleurisy w MCC","3884",""
"VI","Simple pneumonia and pleurisy w MCC","13",""
"VT","Simple pneumonia and pleurisy w MCC","296",""
"WA","Simple pneumonia and pleurisy w MCC","2137",""
"WI","Simple pneumonia and pleurisy w MCC","1791",""
"WV","Simple pneumonia and pleurisy w MCC","1321",""
"WY","Simple pneumonia and pleurisy w MCC","187",""
"AK","Diabetes w MCC","11",""
"AL","Diabetes w MCC","475",""
"AR","Diabetes w MCC","237",""
"AZ","Diabetes w MCC","305",""
"CA","Diabetes w MCC","1682",""
"CO","Diabetes w MCC","162",""
"CT","Diabetes w MCC","231",""
"DC","Diabetes w MCC","78",""
"DE","Diabetes w MCC","96",""
"FL","Diabetes w MCC","1442",""
"GA","Diabetes w MCC","686",""
"GU","Diabetes w MCC","*","The number of cases/patients is too few to report"
"HI","Diabetes w MCC","63",""
"IA","Diabetes w MCC","166",""
"ID","Diabetes w MCC","57",""
"IL","Diabetes w MCC","1019",""
"IN","Diabetes w MCC","582",""
"KS","Diabetes w MCC","152",""
"KY","Diabetes w MCC","402",""
"LA","Diabetes w MCC","362",""
"MA","Diabetes w MCC","485",""
"MD","Diabetes w MCC","407",""
"ME","Diabetes w MCC","71",""
"MI","Diabetes w MCC","1009",""
"MN","Diabetes w MCC","214",""
"MO","Diabetes w MCC","550",""
"MP","Diabetes w MCC","*","The number of cases/patients is too few to report"
"MS","Diabetes w MCC","387",""
"MT","Diabetes w MCC","43",""
"NC","Diabetes w MCC","1001",""
"ND","Diabetes w MCC","51",""
"NE","Diabetes w MCC","47",""
"NH","Diabetes w MCC","53",""
"NJ","Diabetes w MCC","751",""
"NM","Diabetes w MCC","133",""
"NV","Diabetes w MCC","120",""
"NY","Diabetes w MCC","1308",""
"OH","Diabetes w MCC","1037",""
"OK","Diabetes w MCC","338",""
"OR","Diabetes w MCC","153",""
"PA","Diabetes w MCC","890",""
"PR","Diabetes w MCC","62",""
"RI","Diabetes w MCC","67",""
"SC","Diabetes w MCC","417",""
"SD","Diabetes w MCC","49",""
"TN","Diabetes w MCC","603",""
"TX","Diabetes w MCC","1591",""
"UT","Diabetes w MCC","105",""
"VA","Diabetes w MCC","632",""
"VI","Diabetes w MCC","*","The number of cases/patients is too few to report"
"VT","Diabetes w MCC","24",""
"WA","Diabetes w MCC","347",""
"WI","Diabetes w MCC","283",""
"WV","Diabetes w MCC","210",""
"WY","Diabetes w MCC","12",""
"AK","Chest Pain","98",""
"AL","Chest Pain","1601",""
"AR","Chest Pain","1137",""
"AZ","Chest Pain","1284",""
"CA","Chest Pain","7774",""
"CO","Chest Pain","944",""
"CT","Chest Pain","1499",""
"DC","Chest Pain","305",""
"DE","Chest Pain","224",""
"FL","Chest Pain","8744",""
"GA","Chest Pain","2310",""
"GU","Chest Pain","*","The number of cases/patients is too few to report"
"HI","Chest Pain","95",""
"IA","Chest Pain","719",""
"ID","Chest Pain","127",""
"IL","Chest Pain","6217",""
"IN","Chest Pain","2840",""
"KS","Chest Pain","622",""
"KY","Chest Pain","2787",""
"LA","Chest Pain","1602",""
"MA","Chest Pain","1833",""
"MD","Chest Pain","2282",""
"ME","Chest Pain","215",""
"MI","Chest Pain","4771",""
"MN","Chest Pain","1414",""
"MO","Chest Pain","2264",""
"MP","Chest Pain","13",""
"MS","Chest Pain","1484",""
"MT","Chest Pain","110",""
"NC","Chest Pain","4270",""
"ND","Chest Pain","157",""
"NE","Chest Pain","432",""
"NH","Chest Pain","195",""
"NJ","Chest Pain","3137",""
"NM","Chest Pain","489",""
"NV","Chest Pain","622",""
"NY","Chest Pain","10409",""
"OH","Chest Pain","5430",""
"OK","Chest Pain","1971",""
"OR","Chest Pain","520",""
"PA","Chest Pain","3602",""
"PR","Chest Pain","46",""
"RI","Chest Pain","117",""
"SC","Chest Pain","1611",""
"SD","Chest Pain","273",""
"TN","Chest Pain","1916",""
"TX","Chest Pain","8067",""
"UT","Chest Pain","290",""
"VA","Chest Pain","3476",""
"VI","Chest Pain","17",""
"VT","Chest Pain","25",""
"WA","Chest Pain","1531",""
"WI","Chest Pain","1488",""
"WV","Chest Pain","1423",""
"WY","Chest Pain","114",""
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","*","The number of cases/patients is too few to report"
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","121",""
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","72",""
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","73",""
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","393",""
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","58",""
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","39",""
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","28",""
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","32",""
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","329",""
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","99",""
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","14",""
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","48",""
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","46",""
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","175",""
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","146",""
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","47",""
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","100",""
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","107",""
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","112",""
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","66",""
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","11",""
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","218",""
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","75",""
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","140",""
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","62",""
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","43",""
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","164",""
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","37",""
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","38",""
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","35",""
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","175",""
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","20",""
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","22",""
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","242",""
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","173",""
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","52",""
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","49",""
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","166",""
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","11",""
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","*","The number of cases/patients is too few to report"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","83",""
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","26",""
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","138",""
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","283",""
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","42",""
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","174",""
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","12",""
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","89",""
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","90",""
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","33",""
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","*","The number of cases/patients is too few to report"
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","25",""
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","293",""
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","169",""
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","298",""
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1338",""
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","154",""
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","236",""
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","76",""
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","47",""
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1211",""
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","529",""
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","41",""
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","161",""
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","37",""
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","792",""
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","393",""
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","166",""
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","279",""
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","220",""
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","478",""
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","270",""
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","67",""
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","617",""
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","371",""
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","560",""
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","116",""
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","68",""
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","581",""
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","37",""
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","153",""
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","90",""
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","507",""
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","38",""
