Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK","99508","ANCHORAGE","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","25","14"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","AZ","85031","MARICOPA","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","5 out of 9","5 out of 10","2 out of 10","4 out of 9","4 out of 10","22","18"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","22","17"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","1 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","6 out of 9","6 out of 10","2 out of 10","3 out of 9","3 out of 10","26","14"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","AZ","86326","YAVAPAI","6 out of 10","4 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","1 out of 9","4 out of 10","39","20"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","AZ","85745","PIMA","0 out of 10","0 out of 9","0 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","20","16"
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","AZ","85711","PIMA","1 out of 10","4 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","6 out of 10","6 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","27","15"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ","86301","YAVAPAI","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","7","13"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","AZ","85364","YUMA","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3","15"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","AZ","85020","MARICOPA","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","8","16"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","AZ","85222","PINAL","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","22","15"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","MARICOPA","0 out of 10","2 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","21","15"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","AZ","86001","COCONINO","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","15","15"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","AZ","85013","MARICOPA","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","3 out of 9","5 out of 10","13","17"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","AZ","85015","MARICOPA","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","3 out of 10","5 out of 9","5 out of 10","26","18"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","AZ","85541","GILA","3 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","6 out of 10","5 out of 9","6 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","4 out of 9","4 out of 10","6 out of 10","4 out of 9","6 out of 10","3 out of 10","5 out of 9","5 out of 10","33","19"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","AZ","85224","MARICOPA","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","18","16"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","3 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","6 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","35","18"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","8 out of 10","5 out of 9","8 out of 10","8 out of 10","0 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","6 out of 10","6 out of 9","6 out of 10","9 out of 10","9 out of 9","9 out of 10","5 out of 10","2 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","53","20"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","13"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","10","12"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","2 out of 10","0 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","14","19"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DE KALB","3 out of 10","4 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","25","19"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","1 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","18","17"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","COLBERT","4 out of 10","2 out of 9","4 out of 10","6 out of 10","3 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","37","20"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","8 out of 10","8 out of 9","8 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","28","15"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","25","19"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","MONTGOMERY","5 out of 10","4 out of 9","5 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","3 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","43","19"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","VALLEY","AL","36854","CHAMBERS","4 out of 10","3 out of 9","4 out of 10","8 out of 10","4 out of 9","8 out of 10","6 out of 10","4 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","25","17"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","LEE","5 out of 10","0 out of 9","5 out of 10","8 out of 10","7 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","9 out of 10","9 out of 9","9 out of 10","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","1 out of 9","6 out of 10","53","20"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","6 out of 10","5 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","9 out of 10","7 out of 9","9 out of 10","42","20"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","7 out of 10","6 out of 9","7 out of 10","8 out of 10","6 out of 9","8 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","2 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","43","17"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","CULLMAN","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","36","20"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","COVINGTON","3 out of 10","2 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","6 out of 9","6 out of 10","1 out of 10","1 out of 9","1 out of 10","22","19"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","CALHOUN","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","9","13"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","AZ","85006","MARICOPA","2 out of 10","6 out of 9","6 out of 10","3 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","6 out of 10","7 out of 9","7 out of 10","1 out of 10","4 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","3 out of 10","4 out of 9","4 out of 10","39","19"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","AZ","85251","MARICOPA","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","18","16"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","AZ","85635","COCHISE","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","7 out of 10","7 out of 9","7 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","17","14"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","AZ","86409","MOHAVE","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","6 out of 9","6 out of 10","6 out of 10","7 out of 9","7 out of 10","4 out of 10","3 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","38","17"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","2 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","4 out of 9","4 out of 10","32","15"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","8 out of 10","7 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","20","17"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","AZ","85724","PIMA","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","18","17"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","18","17"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","AZ","85344","LAPAZ","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","6 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","25","16"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","AZ","85546","GRAHAM","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","2 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","23","18"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","9","15"
