"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
56,"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","ANCHORAGE","AK","99508","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","25","14"
57,"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","MARICOPA","AZ","85031","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","5 out of 9","5 out of 10","2 out of 10","4 out of 9","4 out of 10","22","18"
58,"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","MARICOPA","AZ","85006","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","22","17"
59,"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","PIMA","AZ","85712","1 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","6 out of 9","6 out of 10","2 out of 10","3 out of 9","3 out of 10","26","14"
60,"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","YAVAPAI","AZ","86326","6 out of 10","4 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","1 out of 9","4 out of 10","39","20"
61,"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","PIMA","AZ","85745","0 out of 10","0 out of 9","0 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","20","16"
62,"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","PIMA","AZ","85711","1 out of 10","4 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","6 out of 10","6 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","27","15"
63,"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","YAVAPAI","AZ","86301","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","7","13"
64,"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","YUMA","AZ","85364","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3","15"
65,"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","MARICOPA","AZ","85020","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","8","16"
66,"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","PINAL","AZ","85222","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","22","15"
67,"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","MARICOPA","AZ","85008","0 out of 10","2 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","21","15"
68,"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","COCONINO","AZ","86001","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","15","15"
69,"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85013","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","3 out of 9","5 out of 10","13","17"
70,"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","MARICOPA","AZ","85015","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","3 out of 10","5 out of 9","5 out of 10","26","18"
71,"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","GILA","AZ","85541","3 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","6 out of 10","5 out of 9","6 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","4 out of 9","4 out of 10","6 out of 10","4 out of 9","6 out of 10","3 out of 10","5 out of 9","5 out of 10","33","19"
72,"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","MARICOPA","AZ","85224","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","18","16"
73,"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","HOUSTON","AL","36301","3 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","6 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","35","18"
74,"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","MARSHALL","AL","35957","8 out of 10","5 out of 9","8 out of 10","8 out of 10","0 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","6 out of 10","6 out of 9","6 out of 10","9 out of 10","9 out of 9","9 out of 10","5 out of 10","2 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","53","20"
75,"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","LAUDERDALE","AL","35631","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","13"
76,"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","COVINGTON","AL","36467","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","10","12"
77,"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","JEFFERSON","AL","35235","2 out of 10","0 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","14","19"
78,"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","DE KALB","AL","35968","3 out of 10","4 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","25","19"
79,"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","SHELBY","AL","35007","1 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","18","17"
80,"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","COLBERT","AL","35660","4 out of 10","2 out of 9","4 out of 10","6 out of 10","3 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","37","20"
81,"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","DALE","AL","36360","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","8 out of 10","8 out of 9","8 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","28","15"
82,"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","MONTGOMERY","AL","36116","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","25","19"
83,"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","MONTGOMERY","AL","36106","5 out of 10","4 out of 9","5 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","3 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","43","19"
84,"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","VALLEY","CHAMBERS","AL","36854","4 out of 10","3 out of 9","4 out of 10","8 out of 10","4 out of 9","8 out of 10","6 out of 10","4 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","25","17"
85,"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","OPELIKA","LEE","AL","36801","5 out of 10","0 out of 9","5 out of 10","8 out of 10","7 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","9 out of 10","9 out of 9","9 out of 10","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","1 out of 9","6 out of 10","53","20"
86,"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","JEFFERSON","AL","35233","6 out of 10","5 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","9 out of 10","7 out of 9","9 out of 10","42","20"
87,"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","ELMORE","AL","36078","7 out of 10","6 out of 9","7 out of 10","8 out of 10","6 out of 9","8 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","2 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","43","17"
88,"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","CULLMAN","AL","35058","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","36","20"
89,"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","COVINGTON","AL","36420","3 out of 10","2 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","6 out of 9","6 out of 10","1 out of 10","1 out of 9","1 out of 10","22","19"
90,"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","CALHOUN","AL","36201","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","9","13"
91,"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","MARICOPA","AZ","85006","2 out of 10","6 out of 9","6 out of 10","3 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","6 out of 10","7 out of 9","7 out of 10","1 out of 10","4 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","3 out of 10","4 out of 9","4 out of 10","39","19"
92,"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","MARICOPA","AZ","85251","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","18","16"
93,"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","COCHISE","AZ","85635","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","7 out of 10","7 out of 9","7 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","17","14"
94,"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","MOHAVE","AZ","86409","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","6 out of 9","6 out of 10","6 out of 10","7 out of 9","7 out of 10","4 out of 10","3 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","38","17"
95,"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","MARICOPA","AZ","85351","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","2 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","4 out of 9","4 out of 10","32","15"
96,"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","NAVAJO","AZ","85901","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","8 out of 10","7 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","20","17"
97,"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","PIMA","AZ","85724","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","18","17"
98,"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","MARICOPA","AZ","85202","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","18","17"
99,"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","LAPAZ","AZ","85344","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","6 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","25","16"
100,"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","GRAHAM","AZ","85546","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","2 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","23","18"
