"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"CO","149","Major Small & Large Intestine Operations","7595 - 8879","202"
"CT","149","Major Small & Large Intestine Operations","9260 - 10755","304"
"DC","149","Major Small & Large Intestine Operations","8225 - 11274","74"
"DE","149","Major Small & Large Intestine Operations","8104 - 9498","87"
"FL","149","Major Small & Large Intestine Operations","7412 - 8384","1126"
"GA","149","Major Small & Large Intestine Operations","7904 - 8826","586"
"HI","149","Major Small & Large Intestine Operations","9296 - 10572","51"
"IA","149","Major Small & Large Intestine Operations","7441 - 7881","199"
"ID","149","Major Small & Large Intestine Operations","7817 - 8313","81"
"IL","149","Major Small & Large Intestine Operations","7985 - 9774","680"
"IN","149","Major Small & Large Intestine Operations","7541 - 8215","482"
"KS","149","Major Small & Large Intestine Operations","7321 - 8720","163"
"KY","149","Major Small & Large Intestine Operations","7765 - 8701","243"
"LA","149","Major Small & Large Intestine Operations","7328 - 8540","314"
"MA","149","Major Small & Large Intestine Operations","8878 - 11470","420"
"MD","149","Major Small & Large Intestine Operations","9714 - 16147","363"
"ME","149","Major Small & Large Intestine Operations","8207 - 8827","110"
"MI","149","Major Small & Large Intestine Operations","8204 - 9836","774"
"MN","149","Major Small & Large Intestine Operations","8276 - 9979","267"
"MO","149","Major Small & Large Intestine Operations","7327 - 8308","389"
"MS","149","Major Small & Large Intestine Operations","7375 - 8156","252"
"MT","149","Major Small & Large Intestine Operations","7114 - 8079","68"
"NC","149","Major Small & Large Intestine Operations","7726 - 8882","633"
"ND","149","Major Small & Large Intestine Operations","7097 - 7958","81"
"NE","149","Major Small & Large Intestine Operations","7494 - 8266","152"
"NH","149","Major Small & Large Intestine Operations","8577 - 9828","76"
"NJ","149","Major Small & Large Intestine Operations","9046 - 10844","472"
"NM","149","Major Small & Large Intestine Operations","8002 - 8861","117"
"NV","149","Major Small & Large Intestine Operations","8257 - 9526","97"
"NY","149","Major Small & Large Intestine Operations","8106 - 13759","1072"
"OH","149","Major Small & Large Intestine Operations","7534 - 8867","728"
"OK","149","Major Small & Large Intestine Operations","7221 - 8164","259"
"OR","149","Major Small & Large Intestine Operations","8441 - 8995","204"
"PA","149","Major Small & Large Intestine Operations","7760 - 9276","762"
"PR","149","Major Small & Large Intestine Operations","4628 - 5100","155"
"RI","149","Major Small & Large Intestine Operations","8352 - 11393","92"
"SC","149","Major Small & Large Intestine Operations","7579 - 8411","332"
"SD","149","Major Small & Large Intestine Operations","7903 - 8364","80"
"TN","149","Major Small & Large Intestine Operations","7537 - 8560","467"
"TX","149","Major Small & Large Intestine Operations","7673 - 8863","1315"
"UT","149","Major Small & Large Intestine Operations","7734 - 8259","143"
"VA","149","Major Small & Large Intestine Operations","7302 - 8483","484"
"VT","149","Major Small & Large Intestine Operations","9128 - 11612","43"
"WA","149","Major Small & Large Intestine Operations","8751 - 9653","333"
"WI","149","Major Small & Large Intestine Operations","7741 - 8832","320"
"WV","149","Major Small & Large Intestine Operations","7214 - 8387","136"
"WY","149","Major Small & Large Intestine Operations","7795 - 8247","35"
"AK","159","Hernia Operations in Adults with Complications or Preexisting Conditions","11066 - 14476","23"
"AL","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7121 - 8027","428"
"AR","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7498 - 8230","275"
"AZ","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8042 - 9055","275"
"CA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","9259 - 11542","1228"
"CO","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7590 - 8853","232"
"CT","159","Hernia Operations in Adults with Complications or Preexisting Conditions","9260 - 11078","236"
"DC","159","Hernia Operations in Adults with Complications or Preexisting Conditions","10485 - 11154","40"
"DE","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8120 - 9471","93"
"FL","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7473 - 8511","1371"
"GA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7967 - 9122","464"
"HI","159","Hernia Operations in Adults with Complications or Preexisting Conditions","9155 - 10809","26"
"IA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7499 - 7859","189"
"ID","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7772 - 8277","69"
"IL","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7970 - 9660","880"
"IN","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7625 - 8415","511"
"KS","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7332 - 8272","195"
"KY","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7405 - 8684","371"
"LA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7473 - 8466","308"
"MA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","9085 - 11581","403"
"MD","159","Hernia Operations in Adults with Complications or Preexisting Conditions","6632 - 14624","324"
"ME","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8186 - 9048","124"
"MI","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8181 - 9902","723"
"MN","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8264 - 10028","377"
"MO","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7309 - 8493","436"
"MS","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7354 - 8326","227"
"MT","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7324 - 8056","77"
"NC","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7944 - 9826","650"
"ND","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7061 - 7428","51"
"NE","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7677 - 9700","118"
"NH","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8693 - 11998","64"
"NJ","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8787 - 10675","452"
"NM","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7979 - 9679","79"
"NV","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8434 - 9612","87"
"NY","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8367 - 13720","1030"
"OH","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7663 - 8964","866"
"OK","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7296 - 8141","316"
"OR","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8641 - 9101","168"
"PA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7704 - 9286","799"
"PR","159","Hernia Operations in Adults with Complications or Preexisting Conditions","4614 - 5189","47"
"RI","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8328 - 10889","71"
"SC","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7649 - 8608","335"
"SD","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7228 - 8080","66"
"TN","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7623 - 8643","469"
"TX","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7711 - 8825","1293"
"UT","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7938 - 8527","85"
"VA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7237 - 8666","425"
"VT","159","Hernia Operations in Adults with Complications or Preexisting Conditions","10013 - 11579","26"
"WA","159","Hernia Operations in Adults with Complications or Preexisting Conditions","8671 - 9678","332"
"WI","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7786 - 8944","421"
"WV","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7194 - 8363","157"
"WY","159","Hernia Operations in Adults with Complications or Preexisting Conditions","7748 - 8924","21"
"AK","160","Hernia Operations in Adults","6835 - 9273","15"
"AL","160","Hernia Operations in Adults","4314 - 4812","238"
"AR","160","Hernia Operations in Adults","4507 - 4958","160"
"AZ","160","Hernia Operations in Adults","4972 - 5950","197"
"CA","160","Hernia Operations in Adults","5519 - 6749","788"
"CO","160","Hernia Operations in Adults","4710 - 5259","124"
"CT","160","Hernia Operations in Adults","5714 - 6557","132"
"DC","160","Hernia Operations in Adults","6354 - 6812","27"
"DE","160","Hernia Operations in Adults","5206 - 5739","60"
"FL","160","Hernia Operations in Adults","4527 - 5025","649"
"GA","160","Hernia Operations in Adults","4861 - 5528","236"
"HI","160","Hernia Operations in Adults","5504 - 8146","15"
"IA","160","Hernia Operations in Adults","4514 - 4780","94"
"ID","160","Hernia Operations in Adults","4719 - 5023","52"
"IL","160","Hernia Operations in Adults","4829 - 5565","414"
"IN","160","Hernia Operations in Adults","4658 - 5051","206"
"KS","160","Hernia Operations in Adults","4427 - 5269","89"
"KY","160","Hernia Operations in Adults","4495 - 5262","213"
"LA","160","Hernia Operations in Adults","4469 - 5099","148"
"MA","160","Hernia Operations in Adults","5546 - 7018","259"
"MD","160","Hernia Operations in Adults","5184 - 10105","135"
"ME","160","Hernia Operations in Adults","4861 - 5334","68"
"MI","160","Hernia Operations in Adults","4952 - 5943","431"
"MN","160","Hernia Operations in Adults","5011 - 6050","195"
"MO","160","Hernia Operations in Adults","4536 - 5535","210"
"MS","160","Hernia Operations in Adults","4456 - 4987","148"
"MT","160","Hernia Operations in Adults","4487 - 4722","42"
"NC","160","Hernia Operations in Adults","4668 - 5367","314"
"ND","160","Hernia Operations in Adults","4288 - 4486","38"
"NE","160","Hernia Operations in Adults","4614 - 5811","58"
"NH","160","Hernia Operations in Adults","5267 - 5524","26"
"NJ","160","Hernia Operations in Adults","5363 - 6439","281"
"NM","160","Hernia Operations in Adults","4827 - 6681","51"
"NV","160","Hernia Operations in Adults","4989 - 5756","39"
"NY","160","Hernia Operations in Adults","5546 - 8570","600"
"OH","160","Hernia Operations in Adults","4624 - 5396","377"
"OK","160","Hernia Operations in Adults","4412 - 5204","200"
"OR","160","Hernia Operations in Adults","5041 - 5435","99"
"PA","160","Hernia Operations in Adults","4669 - 5627","399"
"PR","160","Hernia Operations in Adults","2796 - 3096","74"
"RI","160","Hernia Operations in Adults","4858 - 6909","37"
"SC","160","Hernia Operations in Adults","4646 - 5082","188"
"SD","160","Hernia Operations in Adults","4380 - 4896","38"
"TN","160","Hernia Operations in Adults","4552 - 5123","276"
"TX","160","Hernia Operations in Adults","4644 - 5347","732"
"UT","160","Hernia Operations in Adults","4615 - 5161","50"
"VA","160","Hernia Operations in Adults","4374 - 4934","182"
"VT","160","Hernia Operations in Adults","6110 - 7017","13"
"WA","160","Hernia Operations in Adults","5255 - 5853","209"
"WI","160","Hernia Operations in Adults","4714 - 5337","195"
"WV","160","Hernia Operations in Adults","4388 - 4953","81"
"WY","160","Hernia Operations in Adults","4673 - 5216","16"
"AK","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","18918 - 22312","12"
"AL","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","12637 - 14140","276"
"AR","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13259 - 14671","171"
"AZ","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","14348 - 17835","153"
"CA","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","16394 - 22206","912"
"CO","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13530 - 15501","137"
"CT","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","15869 - 19116","232"
"DC","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","18940 - 21017","39"
"DE","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","14474 - 16882","71"
"FL","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13092 - 14853","975"
"GA","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13339 - 16260","353"
"HI","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","16732 - 19268","39"
"IA","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","12893 - 14327","127"
"ID","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13558 - 14237","34"
"IL","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","14081 - 17259","626"
"IN","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13597 - 15180","308"
"KS","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","12695 - 15500","132"
"KY","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13745 - 15465","319"
