"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","","","ANCHORAGE","AK","99508","ANCHORAGE","9075632662","95","82","","97","58","","88","80","","97","38",""
"020027","MT EDGECUMBE HOSPITAL","222 TONGASS DR","","","SITKA","AK","99835","SITKA","9079662411","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"021301","PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550","","","VALDEZ","AK","99686","VALDEZ CORDOVA","9078352249","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"021302","PROVIDENCE SEWARD HOSPITAL","417 FIRST AVENUE, PO BOX 365","","","SEWARD","AK","99664","KENAI PENINSULA","9072245205","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"021303","SITKA COMMUNITY HOSPITAL","209 MOLLER DRIVE","","","SITKA","AK","99835","SITKA","9077473241","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 EAST REZANOF DRIVE","","","KODIAK","AK","99615","KODIAK ISLAND","9074869592","93","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"021307","CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE","","","CORDOVA","AK","99574","VALDEZ CORDOVA","9074248000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"021308","NORTON SOUND REGIONAL HOSPITAL","306 WEST 5TH AVENUE, P O BOX 966","","","NOME","AK","99762","NOME","9074433311","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"021309","KANAKANAK HOSPITAL","P O BOX 130","","","DILLINGHAM","AK","99576","DILLINGHAM","9078425201","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"021311","PEACEHEALTH KETCHIKAN MEDICAL             CENTER","3100 TONGASS AVENUE","","","KETCHIKAN","AK","99901","KETCHIKAN GATEWAY","9072255171","78","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","82","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"021313","SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST","","","HOMER","AK","99603","KENAI PENINSULA","9072358101","93","14","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","","","PHOENIX","AZ","85031","MARICOPA","6238485000","99","129","","100","48","","100","117","","100","43",""
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","","","PHOENIX","AZ","85006","MARICOPA","6022392000","100","278","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","243","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","59","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","","","TUCSON","AZ","85712","PIMA","5203275461","100","287","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","87","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","228","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","43","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","","","COTTONWOOD","AZ","86326","YAVAPAI","9286396000","96","96","","95","41","","88","76","","100","21",""
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","","","TUCSON","AZ","85745","PIMA","5208723000","100","268","","99","110","","94","243","","100","57",""
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","","","TUCSON","AZ","85711","PIMA","5208733000","100","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","69","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","231","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","","","PRESCOTT","AZ","86301","YAVAPAI","9284452700","99","142","","92","40","","71","110","","100","26",""
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","","","YUMA","AZ","85364","YUMA","9283367275","98","359","","97","149","","98","309","","100","33",""
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","","","PHOENIX","AZ","85020","MARICOPA","6028706060","100","284","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","98","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","47","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","","","CASA GRANDE","AZ","85222","PINAL","5203816453","98","145","","100","60","","99","132","","98","40",""
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","","","PHOENIX","AZ","85008","MARICOPA","6023445011","99","164","","98","83","","95","152","","100","56",""
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","","","FLAGSTAFF","AZ","86001","COCONINO","9287732009","99","144","","100","44","","91","132","","100","25",""
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","","","PHOENIX","AZ","85013","MARICOPA","6024063000","100","318","","100","145","","94","283","","100","95",""
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","","","PHOENIX","AZ","85015","MARICOPA","6022490212","100","311","","95","109","","98","288","","99","79",""
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","","","PAYSON","AZ","85541","GILA","9284743222","100","46","","100","15","","100","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","","","CHANDLER","AZ","85224","MARICOPA","4809634561","100","251","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","81","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","218","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","37","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","","","PHOENIX","AZ","85006","MARICOPA","6022518156","100","128","","98","64","","89","108","","100","41",""
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","","","SCOTTSDALE","AZ","85251","MARICOPA","4808824000","100","271","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","63","The hospital indicated that the data submitted for this measure were based on a sample of cases","77","222","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
