"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"VI","Chronic obstructive pulmonary disease w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Chronic obstructive pulmonary disease w MCC","","","309",""
"WA","Chronic obstructive pulmonary disease w MCC","","","1724",""
"WI","Chronic obstructive pulmonary disease w MCC","","","1888",""
"WV","Chronic obstructive pulmonary disease w MCC","","","2006",""
"WY","Chronic obstructive pulmonary disease w MCC","","","189",""
"AK","Chronic obstructive pulmonary disease w CC","","","173",""
"AL","Chronic obstructive pulmonary disease w CC","","","3806",""
"AR","Chronic obstructive pulmonary disease w CC","","","1730",""
"AS","Chronic obstructive pulmonary disease w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Chronic obstructive pulmonary disease w CC","","","2041",""
"CA","Chronic obstructive pulmonary disease w CC","","","8755",""
"CO","Chronic obstructive pulmonary disease w CC","","","1081",""
"CT","Chronic obstructive pulmonary disease w CC","","","1596",""
"DC","Chronic obstructive pulmonary disease w CC","","","325",""
"DE","Chronic obstructive pulmonary disease w CC","","","545",""
"FL","Chronic obstructive pulmonary disease w CC","","","12238",""
"GA","Chronic obstructive pulmonary disease w CC","","","4489",""
"GU","Chronic obstructive pulmonary disease w CC","","","11",""
"HI","Chronic obstructive pulmonary disease w CC","","","163",""
"IA","Chronic obstructive pulmonary disease w CC","","","1221",""
"ID","Chronic obstructive pulmonary disease w CC","","","236",""
"IL","Chronic obstructive pulmonary disease w CC","","","7718",""
"IN","Chronic obstructive pulmonary disease w CC","","","4665",""
"KS","Chronic obstructive pulmonary disease w CC","","","1130",""
"KY","Chronic obstructive pulmonary disease w CC","","","4343",""
"LA","Chronic obstructive pulmonary disease w CC","","","2304",""
"MA","Chronic obstructive pulmonary disease w CC","","","4434",""
"MD","Chronic obstructive pulmonary disease w CC","","","3886",""
"ME","Chronic obstructive pulmonary disease w CC","","","890",""
"MI","Chronic obstructive pulmonary disease w CC","","","7245",""
"MN","Chronic obstructive pulmonary disease w CC","","","1408",""
"MO","Chronic obstructive pulmonary disease w CC","","","3470",""
"MP","Chronic obstructive pulmonary disease w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Chronic obstructive pulmonary disease w CC","","","2251",""
"MT","Chronic obstructive pulmonary disease w CC","","","263",""
"NC","Chronic obstructive pulmonary disease w CC","","","5034",""
"ND","Chronic obstructive pulmonary disease w CC","","","187",""
"NE","Chronic obstructive pulmonary disease w CC","","","773",""
"NH","Chronic obstructive pulmonary disease w CC","","","771",""
"NJ","Chronic obstructive pulmonary disease w CC","","","5758",""
"NM","Chronic obstructive pulmonary disease w CC","","","517",""
"NV","Chronic obstructive pulmonary disease w CC","","","841",""
"NY","Chronic obstructive pulmonary disease w CC","","","8482",""
"OH","Chronic obstructive pulmonary disease w CC","","","7581",""
"OK","Chronic obstructive pulmonary disease w CC","","","2478",""
"OR","Chronic obstructive pulmonary disease w CC","","","690",""
"PA","Chronic obstructive pulmonary disease w CC","","","6799",""
"PR","Chronic obstructive pulmonary disease w CC","","","421",""
"RI","Chronic obstructive pulmonary disease w CC","","","600",""
"SC","Chronic obstructive pulmonary disease w CC","","","2369",""
"SD","Chronic obstructive pulmonary disease w CC","","","297",""
"TN","Chronic obstructive pulmonary disease w CC","","","4732",""
"TX","Chronic obstructive pulmonary disease w CC","","","10045",""
"UT","Chronic obstructive pulmonary disease w CC","","","224",""
"VA","Chronic obstructive pulmonary disease w CC","","","4058",""
"VI","Chronic obstructive pulmonary disease w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Chronic obstructive pulmonary disease w CC","","","288",""
"WA","Chronic obstructive pulmonary disease w CC","","","1537",""
"WI","Chronic obstructive pulmonary disease w CC","","","1781",""
"WV","Chronic obstructive pulmonary disease w CC","","","2382",""
"WY","Chronic obstructive pulmonary disease w CC","","","165",""
"AK","Simple pneumonia and pleurisy w MCC","","","124",""
"AL","Simple pneumonia and pleurisy w MCC","","","2876",""
"AR","Simple pneumonia and pleurisy w MCC","","","1671",""
"AS","Simple pneumonia and pleurisy w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Simple pneumonia and pleurisy w MCC","","","1941",""
"CA","Simple pneumonia and pleurisy w MCC","","","9386",""
"CO","Simple pneumonia and pleurisy w MCC","","","1216",""
"CT","Simple pneumonia and pleurisy w MCC","","","2064",""
"DC","Simple pneumonia and pleurisy w MCC","","","223",""
"DE","Simple pneumonia and pleurisy w MCC","","","686",""
"FL","Simple pneumonia and pleurisy w MCC","","","7830",""
"GA","Simple pneumonia and pleurisy w MCC","","","4078",""
"GU","Simple pneumonia and pleurisy w MCC","","","19",""
"HI","Simple pneumonia and pleurisy w MCC","","","218",""
"IA","Simple pneumonia and pleurisy w MCC","","","1632",""
"ID","Simple pneumonia and pleurisy w MCC","","","382",""
"IL","Simple pneumonia and pleurisy w MCC","","","5999",""
"IN","Simple pneumonia and pleurisy w MCC","","","3689",""
"KS","Simple pneumonia and pleurisy w MCC","","","1226",""
"KY","Simple pneumonia and pleurisy w MCC","","","3637",""
"LA","Simple pneumonia and pleurisy w MCC","","","2031",""
"MA","Simple pneumonia and pleurisy w MCC","","","3247",""
"MD","Simple pneumonia and pleurisy w MCC","","","1844",""
"ME","Simple pneumonia and pleurisy w MCC","","","712",""
"MI","Simple pneumonia and pleurisy w MCC","","","4980",""
"MN","Simple pneumonia and pleurisy w MCC","","","1653",""
"MO","Simple pneumonia and pleurisy w MCC","","","3812",""
"MP","Simple pneumonia and pleurisy w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Simple pneumonia and pleurisy w MCC","","","1888",""
"MT","Simple pneumonia and pleurisy w MCC","","","401",""
"NC","Simple pneumonia and pleurisy w MCC","","","5454",""
"ND","Simple pneumonia and pleurisy w MCC","","","347",""
"NE","Simple pneumonia and pleurisy w MCC","","","782",""
"NH","Simple pneumonia and pleurisy w MCC","","","637",""
"NJ","Simple pneumonia and pleurisy w MCC","","","3756",""
"NM","Simple pneumonia and pleurisy w MCC","","","698",""
"NV","Simple pneumonia and pleurisy w MCC","","","764",""
"NY","Simple pneumonia and pleurisy w MCC","","","6590",""
"OH","Simple pneumonia and pleurisy w MCC","","","6360",""
"OK","Simple pneumonia and pleurisy w MCC","","","1923",""
"OR","Simple pneumonia and pleurisy w MCC","","","842",""
"PA","Simple pneumonia and pleurisy w MCC","","","5650",""
"PR","Simple pneumonia and pleurisy w MCC","","","402",""
"RI","Simple pneumonia and pleurisy w MCC","","","389",""
"SC","Simple pneumonia and pleurisy w MCC","","","2559",""
"SD","Simple pneumonia and pleurisy w MCC","","","412",""
"TN","Simple pneumonia and pleurisy w MCC","","","4452",""
"TX","Simple pneumonia and pleurisy w MCC","","","9915",""
"UT","Simple pneumonia and pleurisy w MCC","","","541",""
"VA","Simple pneumonia and pleurisy w MCC","","","3818",""
"VI","Simple pneumonia and pleurisy w MCC","","","21",""
"VT","Simple pneumonia and pleurisy w MCC","","","233",""
"WA","Simple pneumonia and pleurisy w MCC","","","2024",""
"WI","Simple pneumonia and pleurisy w MCC","","","1869",""
"WV","Simple pneumonia and pleurisy w MCC","","","1411",""
"WY","Simple pneumonia and pleurisy w MCC","","","163",""
"AK","Diabetes w MCC","","","16",""
"AL","Diabetes w MCC","","","475",""
"AR","Diabetes w MCC","","","283",""
"AS","Diabetes w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Diabetes w MCC","","","274",""
"CA","Diabetes w MCC","","","1805",""
"CO","Diabetes w MCC","","","186",""
"CT","Diabetes w MCC","","","279",""
"DC","Diabetes w MCC","","","69",""
"DE","Diabetes w MCC","","","101",""
"FL","Diabetes w MCC","","","1439",""
"GA","Diabetes w MCC","","","754",""
"GU","Diabetes w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Diabetes w MCC","","","39",""
"IA","Diabetes w MCC","","","149",""
"ID","Diabetes w MCC","","","63",""
"IL","Diabetes w MCC","","","1077",""
"IN","Diabetes w MCC","","","565",""
"KS","Diabetes w MCC","","","174",""
"KY","Diabetes w MCC","","","344",""
"LA","Diabetes w MCC","","","347",""
"MA","Diabetes w MCC","","","482",""
"MD","Diabetes w MCC","","","470",""
"ME","Diabetes w MCC","","","76",""
"MI","Diabetes w MCC","","","1012",""
"MN","Diabetes w MCC","","","197",""
"MO","Diabetes w MCC","","","527",""
"MS","Diabetes w MCC","","","405",""
"MT","Diabetes w MCC","","","47",""
"NC","Diabetes w MCC","","","973",""
"ND","Diabetes w MCC","","","61",""
"NE","Diabetes w MCC","","","53",""
"NH","Diabetes w MCC","","","63",""
"NJ","Diabetes w MCC","","","835",""
"NM","Diabetes w MCC","","","124",""
"NV","Diabetes w MCC","","","123",""
"NY","Diabetes w MCC","","","1331",""
"OH","Diabetes w MCC","","","935",""
"OK","Diabetes w MCC","","","255",""
"OR","Diabetes w MCC","","","151",""
"PA","Diabetes w MCC","","","943",""
"PR","Diabetes w MCC","","","72",""
"RI","Diabetes w MCC","","","81",""
"SC","Diabetes w MCC","","","391",""
"SD","Diabetes w MCC","","","29",""
"TN","Diabetes w MCC","","","582",""
"TX","Diabetes w MCC","","","1521",""
"UT","Diabetes w MCC","","","91",""
"VA","Diabetes w MCC","","","662",""
"VI","Diabetes w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Diabetes w MCC","","","16",""
"WA","Diabetes w MCC","","","316",""
"WI","Diabetes w MCC","","","257",""
"WV","Diabetes w MCC","","","201",""
"WY","Diabetes w MCC","","","17",""
"AK","Chest Pain","","","107",""
"AL","Chest Pain","","","2423",""
"AR","Chest Pain","","","1274",""
"AS","Chest Pain","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Chest Pain","","","1732",""
"CA","Chest Pain","","","10449",""
"CO","Chest Pain","","","1097",""
"CT","Chest Pain","","","1994",""
"DC","Chest Pain","","","372",""
"DE","Chest Pain","","","274",""
"FL","Chest Pain","","","9803",""
"GA","Chest Pain","","","3421",""
"GU","Chest Pain","","","16",""
"HI","Chest Pain","","","162",""
"IA","Chest Pain","","","1049",""
"ID","Chest Pain","","","126",""
"IL","Chest Pain","","","7605",""
"IN","Chest Pain","","","3576",""
"KS","Chest Pain","","","838",""
"KY","Chest Pain","","","3193",""
"LA","Chest Pain","","","1600",""
"MA","Chest Pain","","","4376",""
"MD","Chest Pain","","","3932",""
"ME","Chest Pain","","","517",""
"MI","Chest Pain","","","5603",""
"MN","Chest Pain","","","1677",""
"MO","Chest Pain","","","3548",""
"MP","Chest Pain","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Chest Pain","","","1412",""
"MT","Chest Pain","","","127",""
"NC","Chest Pain","","","5392",""
"ND","Chest Pain","","","138",""
"NE","Chest Pain","","","634",""
"NH","Chest Pain","","","356",""
"NJ","Chest Pain","","","4600",""
"NM","Chest Pain","","","457",""
"NV","Chest Pain","","","1074",""
"NY","Chest Pain","","","12831",""
"OH","Chest Pain","","","6318",""
"OK","Chest Pain","","","2257",""
"OR","Chest Pain","","","586",""
"PA","Chest Pain","","","5057",""
"PR","Chest Pain","","","55",""
"RI","Chest Pain","","","272",""
"SC","Chest Pain","","","2081",""
"SD","Chest Pain","","","311",""
"TN","Chest Pain","","","3025",""
"TX","Chest Pain","","","8290",""
"UT","Chest Pain","","","232",""
"VA","Chest Pain","","","3966",""
"VI","Chest Pain","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
