Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","010054","AL","READM-30-HF-HRRP","238","","1.0903","24.0","22.0","62","07/01/2009","06/30/2012"
"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","010054","AL","READM-30-PN-HRRP","250","","1.1188","19.8","17.7","56","07/01/2009","06/30/2012"
"FLOWERS HOSPITAL","010055","AL","READM-30-AMI-HRRP","326","","1.0930","17.2","15.7","60","07/01/2009","06/30/2012"
"FLOWERS HOSPITAL","010055","AL","READM-30-HF-HRRP","592","","1.0395","21.9","21.1","132","07/01/2009","06/30/2012"
"FLOWERS HOSPITAL","010055","AL","READM-30-PN-HRRP","463","","1.0118","16.1","15.9","75","07/01/2009","06/30/2012"
"ST VINCENT'S BIRMINGHAM","010056","AL","READM-30-AMI-HRRP","278","","1.0423","17.3","16.6","50","07/01/2009","06/30/2012"
"ST VINCENT'S BIRMINGHAM","010056","AL","READM-30-HF-HRRP","550","","1.0385","22.0","21.2","123","07/01/2009","06/30/2012"
"ST VINCENT'S BIRMINGHAM","010056","AL","READM-30-PN-HRRP","494","","1.0649","16.9","15.9","87","07/01/2009","06/30/2012"
"BIBB MEDICAL CENTER","010058","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BIBB MEDICAL CENTER","010058","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BIBB MEDICAL CENTER","010058","AL","READM-30-PN-HRRP","47","","1.0050","16.4","16.3","Too Few To Report","07/01/2009","06/30/2012"
"LAWRENCE MEDICAL CENTER","010059","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LAWRENCE MEDICAL CENTER","010059","AL","READM-30-HF-HRRP","93","","1.0590","24.5","23.2","26","07/01/2009","06/30/2012"
"LAWRENCE MEDICAL CENTER","010059","AL","READM-30-PN-HRRP","148","","0.9625","18.4","19.1","25","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","010061","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","010061","AL","READM-30-HF-HRRP","146","","1.0267","22.3","21.7","34","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","010061","AL","READM-30-PN-HRRP","390","","1.0625","17.8","16.8","73","07/01/2009","06/30/2012"
"WIREGRASS MEDICAL CENTER","010062","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WIREGRASS MEDICAL CENTER","010062","AL","READM-30-HF-HRRP","113","","0.9273","20.4","22.0","19","07/01/2009","06/30/2012"
"WIREGRASS MEDICAL CENTER","010062","AL","READM-30-PN-HRRP","210","","1.0248","17.0","16.6","37","07/01/2009","06/30/2012"
"RUSSELL HOSPITAL","010065","AL","READM-30-AMI-HRRP","65","","1.0520","19.3","18.4","15","07/01/2009","06/30/2012"
"RUSSELL HOSPITAL","010065","AL","READM-30-HF-HRRP","197","","0.9546","21.6","22.6","40","07/01/2009","06/30/2012"
"RUSSELL HOSPITAL","010065","AL","READM-30-PN-HRRP","196","","0.9879","17.7","17.9","34","07/01/2009","06/30/2012"
"MEDICAL CENTER BARBOUR","010069","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEDICAL CENTER BARBOUR","010069","AL","READM-30-HF-HRRP","117","","1.0172","22.3","21.9","27","07/01/2009","06/30/2012"
"MEDICAL CENTER BARBOUR","010069","AL","READM-30-PN-HRRP","119","","1.0501","15.4","14.7","21","07/01/2009","06/30/2012"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-HF-HRRP","74","","1.0999","22.8","20.7","22","07/01/2009","06/30/2012"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-PN-HRRP","113","","0.9306","14.0","15.1","12","07/01/2009","06/30/2012"
"NORTHEAST ALABAMA REGIONAL MED CENTER","010078","AL","READM-30-AMI-HRRP","448","","1.0717","20.5","19.1","95","07/01/2009","06/30/2012"
"NORTHEAST ALABAMA REGIONAL MED CENTER","010078","AL","READM-30-HF-HRRP","712","","0.9991","24.4","24.5","174","07/01/2009","06/30/2012"
"NORTHEAST ALABAMA REGIONAL MED CENTER","010078","AL","READM-30-PN-HRRP","425","","1.0438","19.2","18.4","84","07/01/2009","06/30/2012"
"ATHENS-LIMESTONE HOSPITAL","010079","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ATHENS-LIMESTONE HOSPITAL","010079","AL","READM-30-HF-HRRP","201","","0.9613","22.0","22.9","42","07/01/2009","06/30/2012"
"ATHENS-LIMESTONE HOSPITAL","010079","AL","READM-30-PN-HRRP","237","","0.9116","16.1","17.7","33","07/01/2009","06/30/2012"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","READM-30-AMI-HRRP","37","","0.9661","17.9","18.5","Too Few To Report","07/01/2009","06/30/2012"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","READM-30-HF-HRRP","341","","1.0023","22.5","22.5","77","07/01/2009","06/30/2012"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","READM-30-PN-HRRP","284","","0.8499","14.4","17.0","32","07/01/2009","06/30/2012"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-AMI-HRRP","45","","0.9276","19.2","20.7","Too Few To Report","07/01/2009","06/30/2012"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-HF-HRRP","477","","0.8673","20.1","23.1","88","07/01/2009","06/30/2012"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-PN-HRRP","362","","1.0028","17.6","17.6","64","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","010086","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","010086","AL","READM-30-HF-HRRP","93","","0.9494","21.3","22.5","17","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","010086","AL","READM-30-PN-HRRP","253","","1.0599","17.3","16.3","47","07/01/2009","06/30/2012"
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","010087","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","010087","AL","READM-30-HF-HRRP","27","","0.9621","22.9","23.8","Too Few To Report","07/01/2009","06/30/2012"
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","010087","AL","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WALKER BAPTIST MEDICAL CENTER","010089","AL","READM-30-AMI-HRRP","48","","1.0022","20.6","20.6","Too Few To Report","07/01/2009","06/30/2012"
"WALKER BAPTIST MEDICAL CENTER","010089","AL","READM-30-HF-HRRP","245","","0.9002","20.7","23.0","45","07/01/2009","06/30/2012"
"WALKER BAPTIST MEDICAL CENTER","010089","AL","READM-30-PN-HRRP","299","","0.9347","17.0","18.2","47","07/01/2009","06/30/2012"
"PROVIDENCE HOSPITAL","010090","AL","READM-30-AMI-HRRP","210","","1.0451","16.7","15.9","37","07/01/2009","06/30/2012"
"PROVIDENCE HOSPITAL","010090","AL","READM-30-HF-HRRP","590","","0.8891","19.5","22.0","109","07/01/2009","06/30/2012"
"PROVIDENCE HOSPITAL","010090","AL","READM-30-PN-HRRP","499","","0.9658","16.2","16.8","79","07/01/2009","06/30/2012"
"GROVE HILL MEMORIAL HOSPITAL","010091","AL","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GROVE HILL MEMORIAL HOSPITAL","010091","AL","READM-30-HF-HRRP","62","","1.0124","21.5","21.2","14","07/01/2009","06/30/2012"
"GROVE HILL MEMORIAL HOSPITAL","010091","AL","READM-30-PN-HRRP","42","","0.9290","14.2","15.2","Too Few To Report","07/01/2009","06/30/2012"
"D C H REGIONAL MEDICAL CENTER","010092","AL","READM-30-AMI-HRRP","403","","1.1065","17.9","16.2","77","07/01/2009","06/30/2012"
"D C H REGIONAL MEDICAL CENTER","010092","AL","READM-30-HF-HRRP","1072","","1.0378","23.3","22.5","252","07/01/2009","06/30/2012"
"D C H REGIONAL MEDICAL CENTER","010092","AL","READM-30-PN-HRRP","830","","1.0640","19.3","18.2","164","07/01/2009","06/30/2012"
"HALE COUNTY HOSPITAL","010095","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HALE COUNTY HOSPITAL","010095","AL","READM-30-HF-HRRP","52","","0.9568","19.9","20.8","Too Few To Report","07/01/2009","06/30/2012"
"HALE COUNTY HOSPITAL","010095","AL","READM-30-PN-HRRP","38","","0.9982","16.0","16.1","Too Few To Report","07/01/2009","06/30/2012"
"ELMORE COMMUNITY HOSPITAL","010097","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ELMORE COMMUNITY HOSPITAL","010097","AL","READM-30-HF-HRRP","50","","1.0609","21.6","20.4","14","07/01/2009","06/30/2012"
"ELMORE COMMUNITY HOSPITAL","010097","AL","READM-30-PN-HRRP","69","","1.0490","16.5","15.7","14","07/01/2009","06/30/2012"
"D W MCMILLAN MEMORIAL HOSPITAL","010099","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"D W MCMILLAN MEMORIAL HOSPITAL","010099","AL","READM-30-HF-HRRP","104","","1.0899","20.6","18.9","26","07/01/2009","06/30/2012"
"D W MCMILLAN MEMORIAL HOSPITAL","010099","AL","READM-30-PN-HRRP","167","","1.0634","14.8","13.9","28","07/01/2009","06/30/2012"
"THOMAS HOSPITAL","010100","AL","READM-30-AMI-HRRP","194","","1.0832","16.2","14.9","35","07/01/2009","06/30/2012"
"THOMAS HOSPITAL","010100","AL","READM-30-HF-HRRP","365","","0.9228","19.5","21.2","67","07/01/2009","06/30/2012"
"THOMAS HOSPITAL","010100","AL","READM-30-PN-HRRP","189","","0.9166","14.7","16.0","23","07/01/2009","06/30/2012"
"CITIZENS BAPTIST MEDICAL CENTER","010101","AL","READM-30-AMI-HRRP","25","","1.0128","21.5","21.2","Too Few To Report","07/01/2009","06/30/2012"
"CITIZENS BAPTIST MEDICAL CENTER","010101","AL","READM-30-HF-HRRP","145","","0.9877","22.5","22.8","32","07/01/2009","06/30/2012"
"CITIZENS BAPTIST MEDICAL CENTER","010101","AL","READM-30-PN-HRRP","111","","0.9413","16.6","17.6","15","07/01/2009","06/30/2012"
"J PAUL JONES HOSPITAL","010102","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"J PAUL JONES HOSPITAL","010102","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"J PAUL JONES HOSPITAL","010102","AL","READM-30-PN-HRRP","42","","0.9523","13.3","14.0","Too Few To Report","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER-PRINCETON","010103","AL","READM-30-AMI-HRRP","355","","1.0625","19.5","18.3","72","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER-PRINCETON","010103","AL","READM-30-HF-HRRP","479","","0.9550","21.6","22.6","101","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER-PRINCETON","010103","AL","READM-30-PN-HRRP","345","","1.0290","19.8","19.2","70","07/01/2009","06/30/2012"
"TRINITY MEDICAL CENTER","010104","AL","READM-30-AMI-HRRP","349","","1.0195","17.8","17.4","63","07/01/2009","06/30/2012"
"TRINITY MEDICAL CENTER","010104","AL","READM-30-HF-HRRP","385","","0.8590","19.5","22.7","67","07/01/2009","06/30/2012"
"TRINITY MEDICAL CENTER","010104","AL","READM-30-PN-HRRP","300","","0.8843","15.3","17.3","39","07/01/2009","06/30/2012"
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","READM-30-HF-HRRP","140","","1.0950","22.9","20.9","37","07/01/2009","06/30/2012"
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","READM-30-PN-HRRP","183","","1.0960","16.9","15.4","36","07/01/2009","06/30/2012"
"PICKENS COUNTY MEDICAL CENTER","010109","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PICKENS COUNTY MEDICAL CENTER","010109","AL","READM-30-HF-HRRP","58","","1.0355","22.6","21.8","15","07/01/2009","06/30/2012"
"PICKENS COUNTY MEDICAL CENTER","010109","AL","READM-30-PN-HRRP","156","","0.9528","15.8","16.6","22","07/01/2009","06/30/2012"
"BULLOCK COUNTY HOSPITAL","010110","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BULLOCK COUNTY HOSPITAL","010110","AL","READM-30-HF-HRRP","47","","1.0668","22.4","21.0","14","07/01/2009","06/30/2012"
"BULLOCK COUNTY HOSPITAL","010110","AL","READM-30-PN-HRRP","25","","0.9726","13.9","14.3","Too Few To Report","07/01/2009","06/30/2012"
"BRYAN W WHITFIELD MEM HOSP INC","010112","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BRYAN W WHITFIELD MEM HOSP INC","010112","AL","READM-30-HF-HRRP","144","","1.0913","22.4","20.5","37","07/01/2009","06/30/2012"
"BRYAN W WHITFIELD MEM HOSP INC","010112","AL","READM-30-PN-HRRP","146","","0.9943","14.6","14.7","21","07/01/2009","06/30/2012"
"MOBILE INFIRMARY","010113","AL","READM-30-AMI-HRRP","253","","1.0636","16.7","15.7","45","07/01/2009","06/30/2012"
"MOBILE INFIRMARY","010113","AL","READM-30-HF-HRRP","958","","1.0597","23.0","21.8","224","07/01/2009","06/30/2012"
"MOBILE INFIRMARY","010113","AL","READM-30-PN-HRRP","629","","1.0454","17.6","16.8","113","07/01/2009","06/30/2012"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","READM-30-AMI-HRRP","88","","1.0331","22.0","21.3","21","07/01/2009","06/30/2012"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","READM-30-HF-HRRP","229","","0.9505","20.9","21.9","45","07/01/2009","06/30/2012"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","READM-30-PN-HRRP","219","","1.0195","17.3","17.0","39","07/01/2009","06/30/2012"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","010118","AL","READM-30-AMI-HRRP","123","","1.1400","21.6","19.0","33","07/01/2009","06/30/2012"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","010118","AL","READM-30-HF-HRRP","386","","1.0956","24.8","22.7","101","07/01/2009","06/30/2012"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","010118","AL","READM-30-PN-HRRP","233","","1.0511","18.5","17.6","46","07/01/2009","06/30/2012"
"MONROE COUNTY HOSPITAL","010120","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MONROE COUNTY HOSPITAL","010120","AL","READM-30-HF-HRRP","122","","1.0338","20.7","20.0","27","07/01/2009","06/30/2012"
"MONROE COUNTY HOSPITAL","010120","AL","READM-30-PN-HRRP","178","","0.9743","14.8","15.2","25","07/01/2009","06/30/2012"
"LAKELAND COMMUNITY HOSPITAL","010125","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LAKELAND COMMUNITY HOSPITAL","010125","AL","READM-30-HF-HRRP","126","","0.9251","20.0","21.6","21","07/01/2009","06/30/2012"
"LAKELAND COMMUNITY HOSPITAL","010125","AL","READM-30-PN-HRRP","345","","1.0078","15.8","15.7","55","07/01/2009","06/30/2012"
"TROY REGIONAL MEDICAL CENTER","010126","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TROY REGIONAL MEDICAL CENTER","010126","AL","READM-30-HF-HRRP","126","","1.0608","23.6","22.2","33","07/01/2009","06/30/2012"
"TROY REGIONAL MEDICAL CENTER","010126","AL","READM-30-PN-HRRP","124","","1.1820","19.0","16.1","33","07/01/2009","06/30/2012"
"JACKSON MEDICAL CENTER","010128","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"JACKSON MEDICAL CENTER","010128","AL","READM-30-HF-HRRP","39","","1.0333","21.1","20.5","Too Few To Report","07/01/2009","06/30/2012"
"JACKSON MEDICAL CENTER","010128","AL","READM-30-PN-HRRP","62","","0.8980","12.4","13.8","Too Few To Report","07/01/2009","06/30/2012"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-HF-HRRP","47","","1.0074","22.5","22.4","11","07/01/2009","06/30/2012"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-PN-HRRP","93","","0.9959","17.5","17.5","16","07/01/2009","06/30/2012"
"ST VINCENT'S ST CLAIR","010130","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ST VINCENT'S ST CLAIR","010130","AL","READM-30-HF-HRRP","95","","0.9457","21.1","22.3","17","07/01/2009","06/30/2012"
"ST VINCENT'S ST CLAIR","010130","AL","READM-30-PN-HRRP","171","","1.0767","16.9","15.7","33","07/01/2009","06/30/2012"
"CRESTWOOD MEDICAL CENTER","010131","AL","READM-30-AMI-HRRP","170","","1.0252","17.6","17.1","31","07/01/2009","06/30/2012"
"CRESTWOOD MEDICAL CENTER","010131","AL","READM-30-HF-HRRP","333","","0.8978","19.1","21.3","58","07/01/2009","06/30/2012"
"CRESTWOOD MEDICAL CENTER","010131","AL","READM-30-PN-HRRP","340","","0.9776","14.8","15.1","49","07/01/2009","06/30/2012"
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BROOKWOOD MEDICAL CENTER","010139","AL","READM-30-AMI-HRRP","275","","1.0023","16.3","16.3","45","07/01/2009","06/30/2012"
"BROOKWOOD MEDICAL CENTER","010139","AL","READM-30-HF-HRRP","476","","1.0148","22.1","21.8","106","07/01/2009","06/30/2012"
"BROOKWOOD MEDICAL CENTER","010139","AL","READM-30-PN-HRRP","516","","0.9430","15.9","16.9","79","07/01/2009","06/30/2012"
"SPRINGHILL MEDICAL CENTER","010144","AL","READM-30-AMI-HRRP","131","","1.0905","16.8","15.4","26","07/01/2009","06/30/2012"
"SPRINGHILL MEDICAL CENTER","010144","AL","READM-30-HF-HRRP","440","","0.9211","20.1","21.8","84","07/01/2009","06/30/2012"
"SPRINGHILL MEDICAL CENTER","010144","AL","READM-30-PN-HRRP","199","","0.9923","15.8","15.9","31","07/01/2009","06/30/2012"
"JACKSONVILLE MEDICAL CENTER","010146","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"JACKSONVILLE MEDICAL CENTER","010146","AL","READM-30-HF-HRRP","47","","0.9743","20.0","20.5","Too Few To Report","07/01/2009","06/30/2012"
"JACKSONVILLE MEDICAL CENTER","010146","AL","READM-30-PN-HRRP","122","","0.9944","15.0","15.1","18","07/01/2009","06/30/2012"
"EVERGREEN MEDICAL CENTER","010148","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"EVERGREEN MEDICAL CENTER","010148","AL","READM-30-HF-HRRP","166","","1.2033","23.5","19.5","49","07/01/2009","06/30/2012"
"EVERGREEN MEDICAL CENTER","010148","AL","READM-30-PN-HRRP","73","","1.0137","16.8","16.6","13","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER EAST","010149","AL","READM-30-AMI-HRRP","47","","0.9698","20.2","20.8","Too Few To Report","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER EAST","010149","AL","READM-30-HF-HRRP","344","","1.0286","21.6","21.0","76","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER EAST","010149","AL","READM-30-PN-HRRP","235","","0.8818","15.3","17.4","29","07/01/2009","06/30/2012"
"L V STABLER MEMORIAL HOSPITAL","010150","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"L V STABLER MEMORIAL HOSPITAL","010150","AL","READM-30-HF-HRRP","113","","0.9277","19.5","21.0","18","07/01/2009","06/30/2012"
"L V STABLER MEMORIAL HOSPITAL","010150","AL","READM-30-PN-HRRP","89","","0.9232","15.0","16.3","Too Few To Report","07/01/2009","06/30/2012"
"SHOALS HOSPITAL","010157","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SHOALS HOSPITAL","010157","AL","READM-30-HF-HRRP","79","","1.0128","21.9","21.6","18","07/01/2009","06/30/2012"
"SHOALS HOSPITAL","010157","AL","READM-30-PN-HRRP","163","","0.9639","16.6","17.2","25","07/01/2009","06/30/2012"
