"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"GU","How often was patients&#39; pain well controlled?","Pain was usually well controlled",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",
"GU","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",
"GU","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",
"GU","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"GU","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",
"GU","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",
"HI","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",16
"HI","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",30
"HI","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",54
"HI","How often did doctors communicate well with patients?","Doctors always communicated well",75
"HI","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",7
"HI","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"HI","How often did nurses communicate well with patients?","Nurses always communicated well",66
"HI","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",9
"HI","How often did nurses communicate well with patients?","Nurses usually communicated well",25
"HI","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",55
"HI","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",17
"HI","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"HI","How often did staff explain about medicines before giving them to patients?","Staff always explained",56
"HI","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"HI","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"HI","How often was patients&#39; pain well controlled?","Pain was always well controlled",62
"HI","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",11
"HI","How often was patients&#39; pain well controlled?","Pain was usually well controlled",27
"HI","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",47
